theme	evidence_ids	summary
公開リポジトリ	U001,U002	public/MITの講演用デモを作成し公開する。ghの昇格使用を許可。
企画の調査	U003	ReactとjsPsychのデモを観察し、研究室との接点がある100〜500名想定の実験を企画する。
質問による要件形成	U004,U005	空回答後に再質問し、docs・READMEへ実装計画を保存できるまで同期質問を継続する。
実験操作の変更	U006	前の説明の②、提案内容を揃えて理解を示す前置きだけを変える案へ変更する。
環境と接続の先行確認	U007	Devboxを構築し、React・jsPsych・DBを含むfull stack Hello WorldをCloudflareへ公開する。
文書監査	U008,U009,U015	docsを厳格に監査し、論点を同期質問で確認する。この作業にはReviewer・Subworkerを使わない。
文書の版管理	U010,U011	先にdocsのGit管理を確認し、必要ならコミットしてから監査を進める。
参加者間の2群	U012,U013	実装としての面白さを理由に、単純ランダム2群の参加者間条件へ変更し、他Workerへ共有する。
コミットと粒度	U014,U016,U017,U020,U022,U025	各作業を適切な粒度でコミットする。
並行変更への対応	U018,U019	無関係な他Worker変更に触れず継続し、大きな影響時に判断を求める。本実装は変更を許容して進める。
実装とレビュー	U019	本実装と公開を開始。Subworkerなし、ReviewerはGPT 6 Astra medium。過剰指摘と妥当な指摘を選別する。
過剰要件の精査	U021,U023,U024,U026	詳細な受け入れ基準を再精査し、最低限と言えない部分を洗い出してユーザーへ質問する。
レビュー後のpush	U027	レビュー完了後にorigin mainへpushする。必要なgh利用を許可。過去の実装作業に対する指示。
