decision_id	theme	evidence_ids	user_contribution	decision_summary	artifact_refs	reflection_status	limit_or_tradeoff
D01	教材の中心	Q004,Q007,Q016,Q027	自由記述	ブラウザー・サーバー・ローカルビルド環境の区別。講演30分、参加画面の解説は簡素に。	docs/architecture.md:18;src/App.tsx:42	文書・静的コードで対応確認	学習効果や講演での理解向上は未測定
D02	フルスタックと実行場所	U007,Q008,Q017,Q018,Q019,Q025	ユーザー指示＋AI案の選択	実保存する最小API/DB、TypeScript、Workers＋D1、ローカルと公開。	package.json:10;wrangler.jsonc:4;worker/study-api.ts:25	文書・設定・静的コードで対応確認	サービス選定の独立した比較能力は履歴だけでは不明
D03	研究操作の変遷	Q010,U006,Q013,Q015,Q023	AI案の選択と変更	目的適合を変える案から、提案を揃えて理解を示す前置きを比較する固定刺激へ。	shared/study.ts:6	文書・静的コードで対応確認	操作の心理的妥当性・効果は未証明
D04	参加者間条件	Q012,U012,Q033,Q034	ユーザー発案＋AI質問への補足	全員が両条件から独立50%の2群へ。1人4場面、再開後も群を保持。	shared/study.ts:28;worker/study-api.ts:45	文書・静的コードで対応確認	実装としての面白さが理由。研究効率の優越とは言えない
D05	保存と待機	Q024,Q026,Q059	AI案の選択	逐次送信と再開を維持。複数場面の送信キューをやめ、DB保存確認後に次へ。	src/session.ts:147;src/session.ts:161	文書・静的コードで対応確認	通信中に回答を続ける体験は放棄
D06	再送	Q045,Q047	AI案の選択	自動再送を設けず15秒タイムアウト後に手動で同じ回答を再送。	src/session.ts:33;src/session.ts:178	文書・静的コードで対応確認	待機処理や応答消失の不確実性自体は残る
D07	完了の扱い	Q037,Q038,Q041	自由記述で再検討＋AI案の採用	24時間後の完了確認例外を撤回。4件目保存とDB完了更新を一体化。	worker/study-api.ts:59;src/session.ts:170	文書・静的コードで対応確認	DB上の完了と参加者の確認可能性は別
D08	保持期限と更新	Q028,Q029,Q042	AI案の選択＋自由記述	再開24時間、回答保持30日。参加途中の仕様更新は明示的に対象外。	worker/study-api.ts:46;worker/study-api.ts:51	文書・静的コードで対応確認	運用中更新や失われた認証情報の回復は保証しない
D09	再開を分析可能にする	Q036,Q051,Q060,Q066	AI案の選択・反復維持	課題再開と保存確認を区別し、区間・回数・時刻を残す。	src/session.ts:129;src/session.ts:151	文書・静的コードで対応確認	保管された指標の分析上の有用性は未測定
D10	CSV出力	Q022,Q035,Q061,Q066	自由記述による変更を含む	0回答を含むセッションCSVを追加。完了試行・未完了試行・セッション・メタデータの4ファイル固定。	scripts/export-data.ts:19;scripts/export-data.ts:47	文書・静的コードで対応確認	選択可能な出力構成を減らす。内部状態数の実測ではない
D11	刺激全文	Q062,Q066	自由記述と維持	提示文・質問文はセッション別に保存。正本管理をせず分析時に文字列照合。	worker/study-api.ts:46;scripts/export-data.ts:41	文書・静的コードで対応確認	履歴保存と刺激の統一保証は異なる
D12	IDと管理境界	Q021,Q022	AI案の選択	ランダム参加ID、CLIでCSVを取得。	src/session.ts:95;scripts/export-data.ts:7	文書・静的コードで対応確認	IDのみの選択から認証設計全体のユーザー発案とは推定しない
D13	端末の範囲	Q006,Q044,Q053	AI案の選択	PCのChromeを対象にする。固定幅で開始禁止はせず、確認する幅を定める。	src/App.tsx:33;src/App.tsx:40	文書・静的コードで対応確認	他ブラウザーの動作保証はない
D14	公開の完成条件	Q040,Q043,Q050	自由記述をAI質問で具体化	Wrangler公開に加え公開URL→回答→DB→CSVを確認。公開の障害再試験とCron実行待ちは必須外。	docs/implementation-verification.md:16	過去の確認記録あり・本調査で未再実行	公開成功と研究の募集準備は分ける
D15	環境数と復元	Q052,Q055	AI案の選択	ローカルと合成データ用公開1つ。バックアップ復元試験は外し注意を残す。	docs/acceptance-criteria.md:38	文書に対応確認	実収集前には環境分離等の準備が残る
D16	規模の扱い	Q046,Q056	後の回答で縮小	500件整合性を必須とした後、少数代表例へ縮小。	docs/implementation-verification.md:61	最低要件は縮小・500件追加検証の過去記録あり	ローカル固定データ確認は公開500名や同時500名の保証ではない
D17	受け入れ証拠と刺激確認	Q048,Q049,Q054	AI案の選択	項目別証拠から重要テストと一括記録へ。刺激文字数表から目視へ。	docs/acceptance-criteria.md:38	文書に対応確認	試験量と要求する正しさを混同しない
D18	受付と複数タブ	Q063,Q064,Q065	説明要求後のAI案選択	新規受付だけ止める制御は実収集前へ延期。単一タブ制御は維持し試験を代表例へ。	worker/study-api.ts:44;src/App.tsx:21	要件では受付制御を延期・コードには実装あり	最低要件と実装済み機能は一致しない
D19	削除間隔	Q068	AI案の選択	毎時という指定を外し間隔は設計裁量にする。	wrangler.jsonc:20;src/App.tsx:46	回答あり・現行実装は毎時。要件文書への追記未確認	裁量化は毎時実装の禁止ではない
D20	最後の試験軽量化	Q067,Q069,Q070,Q071	個別説明要求後の選択	保存失敗は実装確認、通信は切断と503を集約、再開は状態3種＋閉鎖1例。	docs/acceptance-criteria.md:75;docs/acceptance-criteria.md:78;docs/acceptance-criteria.md:79	回答あり・現行AC07/10/11への文書反映未確認	後続Q072〜Q074が中断。全論点の合意完了とは扱わない
D21	未回答の境界	Q001,Q002,Q003,Q030,Q031,Q032,Q072,Q073,Q074	空回答・中断	最初の3項目は再質問で回答。他の中断は同意として扱わない。	question_answers.tsv	未回答を明示	特に最後の期限境界・削除再実行・PC停止の軽量化は未決定
